reg_number,url,law,purchase_method,status,object_name,customer_name,customer_url,initial_price,region_code,region_name,scraped_at
0176200005526000736,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0176200005526000736,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка оборудования для медицинской реабилитации,КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК,https://zakupki.gov.ru/epz/organization/view/info.html?reestrNumber=2089066,991666.67,74,Челябинская область,2026-04-25T20:29:58.879188
0371100002726000016,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0371100002726000016,44-ФЗ,44-ФЗ                                    Запрос котировок в электронной форме,Подача заявок,Оказание услуг по страхованию гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЕРУССКОЕ УПРАВЛЕНИЕ МЕЛИОРАЦИИ ЗЕМЕЛЬ И СЕЛЬСКОХОЗЯЙСТВЕННОГО ВОДОСНАБЖЕНИЯ""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=710058,36000.0,74,Челябинская область,2026-04-25T20:30:03.487163
0176200005526000736,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0176200005526000736,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка оборудования для медицинской реабилитации,КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК,https://zakupki.gov.ru/epz/organization/view/info.html?reestrNumber=2089066,991666.67,74,Челябинская область,2026-04-25T20:30:03.488594
0120600008826000018,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0120600008826000018,44-ФЗ,44-ФЗ                                    Запрос котировок в электронной форме,Подача заявок,"Содержание подъездных путей к площадке временного складирования ТКО по адресу: с. Рощино, ул. Луговая, д. 2а",РОЩИНСКИЙ ТЕРРИТОРИАЛЬНЫЙ ОТДЕЛ АДМИНИСТРАЦИИ КРАСНОАРМЕЙСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПРИМОРСКОГО КРАЯ,https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=2591960,342987.75,74,Челябинская область,2026-04-25T20:30:03.489997
0346200015626000006,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0346200015626000006,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,"Поставка медицинского изделия (кольпоскоп), ввод в эксплуатацию медицинского изделия, обучение правилам эксплуатации специалистов, эксплуатирующих медицинское изделие, и специалистов, осуществляющих техническое обслуживание медицинского изделия","ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА ЛИПЕЦКОЙ ОБЛАСТИ""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=683437,8388266.7,74,Челябинская область,2026-04-25T20:30:03.491435
0369200006126000006,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0369200006126000006,44-ФЗ,44-ФЗ                                    Запрос котировок в электронной форме,Определение поставщика завершено,Шовный материал,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ОБЛАСТНАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=618415,490317.5,74,Челябинская область,2026-04-25T20:30:03.492941
0387200009126001759,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0387200009126001759,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,"Поставка медицинских изделий: Аппарат инфракрасной фототерапии опорно-двигательного аппарата, неносимый в рамках регионального проекта «Оптимальная для восстановления здоровья медицинская реабилитация».","КАЗЕННОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""ЦЕНТР ЛЕКАРСТВЕННОГО МОНИТОРИНГА""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=736279,1800000.0,74,Челябинская область,2026-04-25T20:30:03.493874
0358200003126000024,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0358200003126000024,44-ФЗ,44-ФЗ                                    Запрос котировок в электронной форме,Подача заявок,Поставка хозяйственных товаров,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ РОСТОВСКОЙ ОБЛАСТИ ""СОЦИАЛЬНЫЙ ПРИЮТ ДЛЯ ДЕТЕЙ И ПОДРОСТКОВ Г. ТАГАНРОГА""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=713034,5686.02,74,Челябинская область,2026-04-25T20:30:03.494711
0387200009126001758,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0387200009126001758,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,"Поставка медицинских изделий: Система аспирационная общего назначения, с питанием от сети для оснащения (дооснащения) перинатальных центров и родильных домов в рамках регионального проекта «Охрана материнства и детства».","КАЗЕННОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""ЦЕНТР ЛЕКАРСТВЕННОГО МОНИТОРИНГА""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=736279,676000.0,74,Челябинская область,2026-04-25T20:30:03.495543
0334200003926000007,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0334200003926000007,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,Шприц общего назначения,"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ ""МАЛЮТКА"" Г. ИРКУТСКА""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=710881,108865.0,74,Челябинская область,2026-04-25T20:30:03.496453
0339100001526000153,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0339100001526000153,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика отменено,"Поставка медицинского оборудования (Стол/кушетка массажный, с питанием от сети)","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НОВОКУЗНЕЦКИЙ НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР МЕДИКО-СОЦИАЛЬНОЙ ЭКСПЕРТИЗЫ И РЕАБИЛИТАЦИИ ИНВАЛИДОВ"" МИНИСТЕРСТВА ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ РОССИЙСКОЙ ФЕДЕРАЦИИ",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=612362,680000.0,74,Челябинская область,2026-04-25T20:30:03.497323
